3.6057 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-0.3, -0.3, -0.3]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13B29F50>, multiSample=False, name='window1', numSamples=2, pos=[340, 25], screen=1, size=array([1000, 1000]), stereo=False, units='pix', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
5.5910 	EXP 	Created zeitpuffer1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=30, italic=False, name='zeitpuffer1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([-0.5, -0.5, -0.5]), text='', units='pix', win=Window(...), wrapWidth=500)
5.5923 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=30, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([-0.5, -0.5, -0.5]), text='', units='pix', win=Window(...), wrapWidth=500)
5.6048 	EXP 	Created text_12 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=30, italic=False, name='text_12', opacity=1.0, ori=0, pos=array([-10.,   0.]), rgb=array([-0.5, -0.5, -0.5]), text='default text', units='pix', win=Window(...), wrapWidth=500)
5.6484 	EXP 	Created text_end = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=40, italic=False, name='text_end', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=500)
5.7043 	EXP 	baseline_instructions2: autoDraw = True
10.4213 	DATA 	Keypress: space
10.4377 	EXP 	baseline_instructions2: autoDraw = False
10.4377 	EXP 	baseline_instructions3: autoDraw = True
16.1399 	DATA 	Mouse: Left button down, pos=(591,780)
16.2713 	DATA 	Mouse:  Left button up, pos=(591,780)
17.3382 	DATA 	Keypress: space
18.9880 	DATA 	Mouse: Left button down, pos=(582,959)
19.0882 	DATA 	Mouse:  Left button up, pos=(582,959)
19.1549 	DATA 	Keypress: space
21.0046 	DATA 	Mouse:  Left button up, pos=(586,1000)
21.6714 	DATA 	Mouse: Left button down, pos=(573,939)
21.7880 	DATA 	Mouse:  Left button up, pos=(573,939)
21.8713 	DATA 	Keypress: space
22.1548 	DATA 	Keypress: space
22.4047 	DATA 	Keypress: space
23.3048 	DATA 	Mouse: Left button down, pos=(573,939)
23.4047 	DATA 	Mouse:  Left button up, pos=(573,939)
23.4547 	DATA 	Keypress: space
23.6883 	DATA 	Mouse: Right button down, pos=(524,776)
23.7547 	DATA 	Mouse:  Right button up, pos=(525,759)
24.0882 	DATA 	Mouse: Left button down, pos=(389,642)
24.1880 	DATA 	Mouse:  Left button up, pos=(387,643)
24.2714 	DATA 	Mouse: Right button down, pos=(387,643)
24.3214 	DATA 	Mouse:  Right button up, pos=(387,643)
25.5380 	DATA 	Mouse: Left button down, pos=(731,619)
25.6549 	DATA 	Mouse:  Left button up, pos=(731,619)
25.7047 	DATA 	Keypress: space
25.9047 	DATA 	Keypress: space
26.1214 	DATA 	Keypress: space
26.8047 	DATA 	Keypress: escape
26.8439 	EXP 	window1: mouseVisible = True
26.8715 	EXP 	window1: mouseVisible = True
